,date,loser,p1,p2,return_points_played_loser,return_points_played_winner,return_points_won_loser,return_points_won_winner,round,rpw_loser,rpw_winner,score,serve_points_played_loser,serve_points_played_winner,serve_points_won_loser,serve_points_won_winner,spw_loser,spw_winner,surface,tournament_name,ues_loser,ues_winner,winner,winners_loser,winners_winner
46,2017-01-08 09:00:00,Statham R.,Harrison R.,Statham R.,,,,,qualifying,,,6-4 6-1,,,,,,,hard,Heineken Open,,,Harrison R.,,
47,2017-01-08 10:00:00,Giraldo S.,Monteiro T.,Giraldo S.,39.0,53.0,9.0,28.0,qualifying,0.23076923076923078,0.5283018867924528,6-3 6-1,53.0,39.0,25.0,30.0,0.4716981132075472,0.7692307692307693,hard,Sydney,,,Monteiro T.,,
48,2017-01-08 10:40:00,Norrie C.,Tearney F.,Norrie C.,,,,,qualifying,,,6-1 6-3,,,,,,,hard,Heineken Open,,,Tearney F.,,
49,2017-01-08 11:10:00,Bourgue M.,Barton M.,Bourgue M.,46.0,45.0,12.0,22.0,qualifying,0.2608695652173913,0.4888888888888889,6-3 6-1,45.0,46.0,23.0,34.0,0.5111111111111111,0.7391304347826086,hard,Sydney,,,Barton M.,,
50,2017-01-08 11:45:00,Janowicz J.,Mmoh M.,Janowicz J.,,,,,qualifying,,,7-6 6-3,,,,,,,hard,Heineken Open,,,Mmoh M.,,
51,2017-01-08 12:00:00,Basilashvili N.,Elias G.,Basilashvili N.,79.0,87.0,26.0,36.0,qualifying,0.3291139240506329,0.41379310344827586,7-6(1) 6-4,87.0,79.0,51.0,53.0,0.5862068965517241,0.6708860759493671,hard,Sydney,,,Elias G.,,
52,2017-01-08 12:20:00,Lopez-Perez E.,O'Connell C.,Lopez-Perez E.,68.0,59.0,23.0,25.0,qualifying,0.3382352941176471,0.423728813559322,6-3 7-5,59.0,68.0,34.0,45.0,0.576271186440678,0.6617647058823529,hard,Sydney,,,O'Connell C.,,
53,2017-01-08 15:10:00,Bellucci T.,Mahut N.,Bellucci T.,58.0,57.0,14.0,24.0,last_32,0.2413793103448276,0.42105263157894735,6-2 7-6(2),57.0,58.0,33.0,44.0,0.5789473684210527,0.7586206896551724,hard,Sydney,,,Mahut N.,,
54,2017-01-08 19:00:00,Nishikori K.,Dimitrov G.,Nishikori K.,77.0,69.0,24.0,24.0,F,0.3116883116883117,0.34782608695652173,6-2 2-6 6-3,69.0,77.0,45.0,53.0,0.6521739130434783,0.6883116883116883,hard,Brisbane,,,Dimitrov G.,,
55,2017-01-09 09:30:00,Robert S.,Johnson S.,Robert S.,,,,,last_32,,,6-4 6-3,,,,,,,hard,Heineken Open,,,Johnson S.,,
56,2017-01-09 11:00:00,Edmund K.,Barton M.,Edmund K.,78.0,82.0,22.0,27.0,last_32,0.28205128205128205,0.32926829268292684,7-6(3) 7-6(5),82.0,78.0,55.0,56.0,0.6707317073170732,0.717948717948718,hard,Sydney,,,Barton M.,,
57,2017-01-09 11:10:00,Tearney F.,Haase R.,Tearney F.,,,,,last_32,,,6-4 7-5,,,,,,,hard,Heineken Open,,,Haase R.,,
58,2017-01-09 12:00:00,Monteiro T.,Evans D.,Monteiro T.,80.0,79.0,31.0,34.0,last_32,0.3875,0.43037974683544306,6-3 4-6 6-3,79.0,80.0,45.0,49.0,0.569620253164557,0.6125,hard,Sydney,,,Evans D.,,
59,2017-01-09 12:40:00,O'Connell C.,Elias G.,O'Connell C.,114.0,100.0,40.0,43.0,last_32,0.3508771929824561,0.43,6-7(3) 6-4 6-1,100.0,114.0,57.0,74.0,0.57,0.6491228070175439,hard,Sydney,,,Elias G.,,
60,2017-01-09 12:55:00,Zeballos H.,Vesely J.,Zeballos H.,,,,,last_32,,,6-4 6-3,,,,,,,hard,Heineken Open,,,Vesely J.,,
61,2017-01-09 13:00:00,Schwartzman D.,Jaziri M.,Schwartzman D.,,,,,last_32,,,7-6 6-3,,,,,,,hard,Heineken Open,,,Jaziri M.,,
62,2017-01-09 15:25:00,Mayer F.,Lorenzi P.,Mayer F.,106.0,113.0,31.0,36.0,last_32,0.29245283018867924,0.3185840707964602,7-6(4) 4-6 7-6(5),113.0,106.0,77.0,75.0,0.6814159292035398,0.7075471698113207,hard,Sydney,,,Lorenzi P.,,
63,2017-01-09 15:30:00,Venus M.,Lopez F.,Venus M.,,,,,last_32,,,3-6 6-4 6-3,,,,,,,hard,Heineken Open,,,Lopez F.,,
64,2017-01-09 16:55:00,Fognini F.,Kohlschreiber P.,Fognini F.,58.0,55.0,16.0,21.0,last_32,0.27586206896551724,0.38181818181818183,6-4 6-4,55.0,58.0,34.0,42.0,0.6181818181818182,0.7241379310344828,hard,Sydney,,,Kohlschreiber P.,,
65,2017-01-09 17:40:00,Mmoh M.,Brown D.,Mmoh M.,,,,,last_32,,,7-6(4) 3-6 6-4,,,,,,,hard,Heineken Open,,,Brown D.,,
66,2017-01-10 09:30:00,Bagnis F.,Klein B.,Bagnis F.,,,,,last_32,,,6-1 6-7 7-6,,,,,,,hard,Heineken Open,,,Klein B.,,
67,2017-01-10 09:30:00,Garcia-Lopez G.,Harrison R.,Garcia-Lopez G.,,,,,last_32,,,6-1 6-2,,,,,,,hard,Heineken Open,,,Harrison R.,,
68,2017-01-10 09:30:00,Ramos-Vinolas A.,Sousa J.,Ramos-Vinolas A.,,,,,last_32,,,6-1 7-5,,,,,,,hard,Heineken Open,,,Sousa J.,,
69,2017-01-10 11:00:00,Paire B.,de Minaur A.,Paire B.,82.0,93.0,27.0,37.0,last_32,0.32926829268292684,0.3978494623655914,6-3 3-6 7-6(1),93.0,82.0,56.0,55.0,0.6021505376344086,0.6707317073170732,hard,Sydney,,,de Minaur A.,,
70,2017-01-10 11:20:00,Khachanov K.,Yen-Hsun Lu.,Khachanov K.,,,,,last_32,,,4-6 7-6(5) 7-6(9),,,,,,,hard,Heineken Open,,,Yen-Hsun Lu.,,
71,2017-01-10 11:45:00,Klizan M.,Kuznetsov An.,Klizan M.,48.0,56.0,16.0,26.0,last_32,0.3333333333333333,0.4642857142857143,2-6 6-1 3-0,56.0,48.0,30.0,32.0,0.5357142857142857,0.6666666666666666,hard,Sydney,,,Kuznetsov An.,,
72,2017-01-10 12:00:00,Almagro N.,Zverev M.,Almagro N.,47.0,63.0,10.0,26.0,last_32,0.2127659574468085,0.4126984126984127,6-4 6-2,63.0,47.0,37.0,37.0,0.5873015873015873,0.7872340425531915,hard,Sydney,,,Zverev M.,,
73,2017-01-10 13:00:00,Dolgopolov A.,Muller G.,Dolgopolov A.,96.0,100.0,32.0,34.0,last_32,0.3333333333333333,0.34,3-6 6-3 7-5,100.0,96.0,66.0,64.0,0.66,0.6666666666666666,hard,Sydney,,,Muller G.,,
74,2017-01-10 15:25:00,Giraldo S.,Granollers M.,Giraldo S.,105.0,106.0,30.0,41.0,last_32,0.2857142857142857,0.3867924528301887,6-7(5) 7-5 6-3,106.0,105.0,65.0,75.0,0.6132075471698113,0.7142857142857143,hard,Sydney,,,Granollers M.,,
75,2017-01-10 16:00:00,Mannarino A.,Baghdatis M.,Mannarino A.,,,,,last_32,,,6-4 6-4,,,,,,,hard,Heineken Open,,,Baghdatis M.,,
76,2017-01-10 16:35:00,Basilashvili N.,Thompson J.,Basilashvili N.,53.0,59.0,18.0,32.0,last_32,0.33962264150943394,0.5423728813559322,7-5 6-2,59.0,53.0,27.0,35.0,0.4576271186440678,0.660377358490566,hard,Sydney,,,Thompson J.,,
77,2017-01-10 18:55:00,Sitak A.,Chardy J.,Sitak A.,,,,,last_32,,,6-4 6-2,,,,,,,hard,Heineken Open,,,Chardy J.,,
78,2017-01-12 09:30:00,Haase R.,Sousa J.,Haase R.,,,,,QF,,,6-3 6-2,,,,,,,hard,Heineken Open,,,Sousa J.,,
79,2017-01-12 10:50:00,Isner J.,Johnson S.,Isner J.,,,,,QF,,,6-3 5-7 7-6(3),,,,,,,hard,Heineken Open,,,Johnson S.,,
80,2017-01-12 11:00:00,Cuevas P.,Muller G.,Cuevas P.,72.0,73.0,23.0,26.0,QF,0.3194444444444444,0.3561643835616438,7-6(5) 6-4,73.0,72.0,47.0,49.0,0.6438356164383562,0.6805555555555556,hard,Sydney,,,Muller G.,,
81,2017-01-12 13:10:00,Carreno Busta P.,Kuznetsov An.,Carreno Busta P.,79.0,78.0,28.0,30.0,QF,0.35443037974683544,0.38461538461538464,2-6 6-4 6-1,78.0,79.0,48.0,51.0,0.6153846153846154,0.6455696202531646,hard,Sydney,,,Kuznetsov An.,,
82,2017-01-12 13:25:00,Vesely J.,Baghdatis M.,Vesely J.,,,,,QF,,,6-2 6-4,,,,,,,hard,Heineken Open,,,Baghdatis M.,,
83,2017-01-12 15:30:00,Chardy J.,Sock J.,Chardy J.,,,,,QF,,,5-7 6-4 6-3,,,,,,,hard,Heineken Open,,,Sock J.,,
84,2017-01-12 17:30:00,Thiem D.,Evans D.,Thiem D.,94.0,81.0,40.0,37.0,QF,0.425531914893617,0.4567901234567901,3-6 6-4 6-1,81.0,94.0,44.0,54.0,0.5432098765432098,0.574468085106383,hard,Sydney,,,Evans D.,,
85,2017-01-13 14:00:00,Baghdatis M.,Sousa J.,Baghdatis M.,,,,,SF,,,6-1 7-5,,,,,,,hard,Heineken Open,,,Sousa J.,,
86,2017-01-13 15:00:00,Troicki V.,Muller G.,Troicki V.,76.0,55.0,22.0,13.0,SF,0.2894736842105263,0.23636363636363636,6-3 7-6(6),55.0,76.0,42.0,54.0,0.7636363636363637,0.7105263157894737,hard,Sydney,,,Muller G.,,
87,2017-01-13 15:30:00,Johnson S.,Sock J.,Johnson S.,,,,,SF,,,6-4 6-3,,,,,,,hard,Heineken Open,,,Sock J.,,
88,2017-01-13 19:30:00,Kuznetsov An.,Evans D.,Kuznetsov An.,72.0,84.0,26.0,40.0,SF,0.3611111111111111,0.47619047619047616,6-2 3-6 6-3,84.0,72.0,44.0,46.0,0.5238095238095238,0.6388888888888888,hard,Sydney,,,Evans D.,,
89,2017-01-14 11:30:00,Di Wu.,Dodig I.,Di Wu.,,,,,qualifying,,,6-1 7-5,,,,,,,hard,Australian Open,,,Dodig I.,,
90,2017-01-14 11:30:00,Donskoy E.,Rubin N.,Donskoy E.,,,,,qualifying,,,6-2 6-4,,,,,,,hard,Australian Open,,,Rubin N.,,
91,2017-01-14 11:30:00,Moriya H.,Fratangelo B.,Moriya H.,,,,,qualifying,,,4-6 6-4 6-4,,,,,,,hard,Australian Open,,,Fratangelo B.,,
92,2017-01-14 11:30:00,Ghem A.,Fabbiano T.,Ghem A.,,,,,qualifying,,,6-4 7-6,,,,,,,hard,Australian Open,,,Fabbiano T.,,
93,2017-01-14 11:30:00,Kudla D.,Lacko L.,Kudla D.,59.0,50.0,20.0,24.0,qualifying,0.3389830508474576,0.48,6-2 6-2,50.0,59.0,26.0,39.0,0.52,0.6610169491525424,hard,Australian Open,,,Lacko L.,,
94,2017-01-14 11:30:00,Polansky P.,Rublev A.,Polansky P.,,,,,qualifying,,,6-4 4-6 6-3,,,,,,,hard,Australian Open,,,Rublev A.,,
95,2017-01-14 11:30:00,Smyczek T.,Tiafoe F.,Smyczek T.,,,,,qualifying,,,3-6 6-0 7-5,,,,,,,hard,Australian Open,,,Tiafoe F.,,
96,2017-01-14 11:30:00,Trungelliti M.,Soeda G.,Trungelliti M.,,,,,qualifying,,,6-2 3-6 6-4,,,,,,,hard,Australian Open,,,Soeda G.,,
97,2017-01-14 11:30:00,Smith J.,Stepanek R.,Smith J.,,,,,qualifying,,,6-2 6-4,,,,,,,hard,Australian Open,,,Stepanek R.,,
98,2017-01-14 11:30:00,Sousa J.,Sock J.,Sousa J.,,,,,F,,,6-3 5-7 6-3,,,,,,,hard,Heineken Open,,,Sock J.,,
99,2017-01-14 12:45:00,Mcgee J.,Mott B.,Mcgee J.,,,,,qualifying,,,7-6 3-6 6-3,,,,,,,hard,Australian Open,,,Mott B.,,
